id,xmin,ymin,xmax,ymax
450,138,59,325,150
451,174,65,296,162
453,183,77,345,172
454,108,119,265,200
455,209,68,401,159
457,0,0,500,56
458,198,60,343,195
459,0,0,462,49
462,214,58,396,124
463,0,0,151,254
468,174,116,321,209
472,191,36,343,111
473,131,258,428,323
475,179,95,260,225
480,0,0,500,73
483,256,104,381,259
487,93,194,222,292
488,328,142,444,251
492,80,150,270,328
493,223,94,392,173
494,38,274,175,361
498,196,139,334,229
499,138,99,294,174
501,209,152,395,259
503,183,79,312,161
506,196,150,332,241
508,0,306,167,375
509,116,38,319,123
510,136,76,274,172
512,137,151,276,292
513,156,142,307,265
514,151,127,270,263
516,140,89,361,176
517,133,116,343,235
519,58,80,316,174
521,162,156,265,292
522,0,0,400,98
525,209,151,334,247
526,28,332,283,441
528,238,85,372,175
532,189,102,419,240
534,332,110,441,217
536,216,102,350,233
538,91,203,205,332
540,165,102,361,197
543,0,0,500,77
546,0,0,464,48
548,111,74,243,190
550,151,199,303,280
551,113,56,270,145
553,0,0,165,65
556,138,96,256,195
558,178,85,343,160
560,243,76,379,146
563,0,0,464,51
565,138,329,334,403
567,164,87,241,225
569,147,92,310,166
571,178,128,296,252
572,0,0,453,44
573,328,84,439,181
578,167,106,316,185
579,223,106,348,203
580,82,111,225,204
582,166,127,291,234
583,133,98,247,207
584,0,220,122,324
585,198,175,314,265
586,0,0,500,102
589,212,128,323,241
590,196,47,345,167
592,145,76,294,186
594,165,103,290,191
597,178,190,339,262
602,171,121,303,209
603,0,193,140,334
604,100,147,337,231
608,180,115,334,200
609,0,0,333,93
610,129,87,272,172
615,212,44,352,144
616,171,50,319,127
618,173,78,265,140
622,0,0,109,129
623,158,147,350,237
624,183,191,309,334
627,0,0,500,77
632,91,191,189,323
634,185,137,337,222
637,167,0,292,103
638,154,53,345,132
640,125,109,247,200
643,0,322,100,454
644,149,96,292,200
646,84,98,207,197
649,229,81,348,182
650,189,50,339,160
651,174,50,319,147
654,53,167,275,366
656,221,90,306,201
658,0,0,500,59
659,129,173,343,245
661,0,0,369,102
664,232,107,354,212
665,128,84,263,212
673,171,86,352,162
674,0,0,500,79
675,187,107,330,192
676,135,236,255,343
679,359,0,500,64
681,0,0,500,78
683,256,250,426,397
684,134,131,266,216
686,111,173,241,249
687,227,0,333,120
688,117,71,252,160
689,0,0,500,147
692,111,175,272,302
695,167,49,319,126
696,0,0,333,87
697,225,148,399,223
698,241,0,450,56
700,330,0,500,65
703,152,118,303,227
704,0,0,400,113
705,149,118,415,209
707,160,49,325,140
708,0,0,325,96
709,98,0,258,87
711,154,95,339,165
714,148,66,275,162
718,189,108,321,262
721,205,67,296,171
723,221,120,331,207
724,194,120,323,199
726,180,131,299,265
728,132,90,319,188
731,151,189,294,288
737,71,159,234,256
738,234,77,372,153
739,86,185,175,303
742,188,165,299,357
743,267,94,388,185
745,252,257,426,328
749,154,216,242,363
750,375,0,500,88
752,158,157,301,271
753,227,110,361,215
757,0,252,120,344
759,156,140,296,226
761,167,117,292,211
763,126,142,255,256
764,149,167,281,269
765,138,122,270,203
766,137,160,269,272
767,223,117,357,214
771,156,120,287,217
772,194,303,366,368
773,0,0,333,84
774,223,110,352,197
777,196,121,343,185
779,205,86,319,167
783,156,274,323,359
785,200,160,352,246
786,263,51,392,106
787,233,203,399,290
795,0,0,170,104
796,171,80,332,145
797,186,299,332,437
799,40,66,345,242
800,116,162,231,285
802,171,133,321,241
803,212,268,397,352
804,74,262,141,333
805,124,93,250,341
808,19,191,142,258
809,0,244,200,334
811,68,62,155,158
815,151,90,354,211
817,171,72,312,146
820,140,150,287,244
821,118,254,272,328
824,49,0,418,73
825,236,145,370,231
826,171,128,314,200
827,156,205,361,258
830,145,144,328,230
831,98,195,321,310
832,247,225,417,298
837,206,263,437,359
838,252,75,377,157
839,64,53,290,166
840,178,147,282,267
842,252,81,392,154
844,225,193,379,271
846,69,195,223,274
847,100,90,299,166
848,263,46,404,135
849,187,160,308,270
850,187,67,334,159
851,225,127,357,207
852,205,134,361,215
854,174,191,332,287
858,196,84,339,158
866,250,115,375,199
868,104,45,303,156
869,276,63,406,157
876,123,75,229,200
878,134,178,239,301
880,180,194,334,288
882,174,0,330,220
883,62,52,285,148
885,76,60,194,165
886,234,91,377,165
887,183,55,316,146
890,174,67,341,149
892,337,189,500,266
893,0,233,154,300
896,200,120,328,201
897,131,85,270,173
899,136,101,339,225
901,115,151,215,294
903,187,176,316,280
904,216,60,341,159
905,187,85,296,203
908,281,95,500,215
909,267,87,386,215
911,75,81,292,208
913,207,0,299,227
914,131,118,232,234
915,133,114,334,223
919,182,87,327,256
921,104,113,285,200
924,108,55,216,185
930,140,145,292,224
932,111,80,272,209
933,267,272,444,333
936,130,185,292,332
938,118,83,234,182
940,104,0,209,200
942,233,127,359,252
944,276,75,397,163
945,80,0,281,128
948,72,0,184,113
949,118,95,231,218
953,99,105,179,172
958,241,75,375,165
961,243,114,408,190
962,203,87,343,175
968,212,139,343,220
969,241,122,428,192
971,93,138,266,343
973,0,280,171,353
976,30,175,110,209
977,121,58,206,120
978,103,274,246,361
983,0,88,167,285
993,0,117,82,260
996,68,147,204,274
997,107,66,178,124
998,120,114,252,194
999,203,152,368,227
1001,165,57,368,149
1003,98,62,219,165
1005,71,69,227,200
1006,174,103,308,269
1009,187,50,354,119
1011,147,143,272,234
1012,245,142,366,259
1013,203,161,345,258
1014,149,114,345,210
1016,149,58,325,127
1018,212,88,350,180
1021,104,93,290,148
1025,138,133,281,219
1028,102,131,217,227
1030,147,97,316,188
1031,0,280,500,333
1033,185,40,408,127
1035,138,43,292,108
1036,122,75,252,153
1038,140,44,294,120
1041,154,0,294,101
1043,136,80,267,198
1044,205,82,332,165
1046,223,105,354,190
1047,125,354,324,433
1050,98,73,204,145
1054,73,48,247,115
1057,120,132,243,261
1061,200,118,343,229
1062,245,55,381,147
1063,203,123,366,197
1064,203,48,404,151
1066,0,105,191,172
1068,110,194,202,341
1070,62,122,217,279
1071,49,93,191,218
1072,142,96,310,173
1075,223,264,399,333
1076,196,169,301,293
1077,158,55,350,167
1081,359,64,500,175
1082,60,86,167,189
1084,171,149,292,237
1086,207,0,303,203
1089,165,84,243,134
1090,151,95,308,265
1092,227,148,361,259
1095,183,125,307,232
1096,87,51,185,114
1097,113,121,227,217
1099,168,160,253,294
1102,90,178,185,290
1104,114,198,206,316
1105,149,41,357,149
1108,187,85,296,180
1109,172,81,254,158
1116,82,68,243,154
1117,205,204,350,305
1118,194,154,334,244
1119,247,209,360,337
1127,0,221,178,301
1128,145,138,314,248
1131,176,137,314,222
1132,185,75,339,144
1133,210,177,331,258
1136,160,117,339,216
1137,95,148,310,234
1138,183,102,308,209
1142,334,145,500,213
1143,135,220,215,354
1144,138,0,379,44
1148,100,153,359,253
1150,78,95,223,193
1153,55,88,185,174
1154,109,148,281,225
1158,180,186,419,254
1159,232,177,359,293
1160,162,133,339,205
1161,0,0,194,147
1162,294,279,500,333
1164,82,105,323,231
1168,194,132,316,229
1169,241,101,383,181
1170,212,157,397,252
1172,174,93,330,159
1174,178,157,314,259
1176,91,35,223,103
1177,176,95,341,165
1178,203,72,330,171
1179,0,0,185,69
1180,0,99,109,215
1182,154,59,314,113
1183,232,72,355,182
1190,229,57,350,146
1192,145,73,500,207
1193,142,140,303,209
1195,176,48,230,100
1199,0,191,106,250
1200,185,151,337,232
1206,243,35,372,119
1209,198,215,470,406
1211,183,38,339,111
1212,90,120,162,313
1215,216,89,370,181
1216,250,84,421,150
1217,128,44,291,126
1218,118,56,292,139
1220,145,64,285,177
1223,100,77,294,170
1225,122,63,248,149
1226,0,0,357,100
1230,73,116,196,195
1234,0,0,156,78
1235,176,88,343,255
1237,216,168,357,239
1240,0,0,212,117
1243,156,172,359,223
1244,214,93,348,234
1247,55,92,174,161
1249,262,281,389,415
1254,0,0,500,69
1255,158,116,343,204
1257,234,47,357,178
1258,147,114,287,194
1261,149,71,281,156
1262,114,133,228,227
1264,225,155,426,252
1265,96,133,202,256
1266,0,0,433,71
1267,122,84,229,182
1268,254,162,412,248
1269,263,148,406,232
1271,0,0,127,93
1272,140,113,332,271
1273,0,0,500,69
1275,116,116,206,223
1281,133,166,294,246
1283,113,76,279,170
1284,203,155,381,220
1285,95,131,260,285
1289,167,98,290,197
1292,109,126,245,218
1293,165,134,314,214
1295,174,68,395,195
1297,0,166,500,333
1301,205,71,377,179
1304,0,0,457,98
1305,149,125,290,196
1306,132,98,234,223
1313,121,129,232,223
1315,0,0,423,87
1316,131,75,246,223
1317,212,116,339,196
1319,58,178,231,267
1321,263,185,357,337
1323,102,39,226,121
1325,101,68,272,165
1330,254,113,388,220
1333,131,167,220,287
1335,67,52,176,139
1339,131,120,272,190
1341,93,109,251,218
1342,131,104,345,226
1345,187,138,350,209
1347,225,81,354,191
1348,263,78,375,185
1350,191,87,329,345
1351,104,218,257,352
1352,98,142,301,232
1356,122,100,261,182
1359,98,107,290,310
1364,220,117,350,241
1367,214,101,375,189
1371,171,93,345,207
1372,0,0,500,57
1373,0,0,382,87
1376,263,92,379,202
1379,158,141,341,202
1382,30,0,297,73
1385,0,0,154,169
1386,191,78,337,171
1387,0,0,500,71
1388,189,116,329,214
1390,104,120,229,206
1391,87,102,234,178
1392,121,118,222,229
1393,145,225,246,345
1394,174,208,321,279
1395,180,53,392,254
1396,137,99,202,210
1397,176,112,328,194
1399,169,58,300,165
1400,158,167,303,264
1409,348,71,500,187
1410,173,109,295,214
1411,0,0,131,72
1412,205,0,361,148
1413,165,0,266,207
1416,85,41,150,92
1419,203,81,370,197
1421,256,78,352,225
1422,220,85,348,180
1423,0,227,156,291
1424,158,63,283,151
1425,50,0,157,79
1427,98,347,296,416
1430,79,56,165,113
1431,191,107,314,227
1432,216,68,357,161
1433,176,0,361,112
1434,207,117,354,237
1435,241,122,363,216
1437,149,116,245,238
1442,73,129,205,241
1443,185,127,310,205
1446,66,143,299,304
1448,325,263,500,333
1449,165,135,316,219
1450,178,77,319,165
1451,397,92,500,211
1454,138,108,238,217
1457,167,69,305,151
1462,196,51,308,150
1463,263,89,372,199
1467,149,117,321,200
1471,218,124,343,228
1473,0,82,218,196
1477,219,0,334,89
1478,98,0,265,104
1479,147,71,319,214
1480,162,112,433,219
1481,133,107,232,224
1482,339,40,500,143
1483,111,251,274,355
1485,171,56,339,162
1487,200,164,343,262
1490,60,101,234,174
1492,37,231,200,298
1494,234,51,500,172
1495,92,43,231,177
1496,88,352,241,437
1497,164,133,335,232
1498,69,37,141,128
1502,151,105,282,165
1503,116,201,245,252
1506,60,49,140,92
1507,0,0,372,80
1513,148,44,309,103
1517,0,0,500,75
1518,223,74,343,170
1520,142,43,290,116
1521,243,48,392,124
1522,183,77,328,169
1524,196,123,321,211
1525,208,151,287,308
1526,265,52,410,159
1529,160,98,345,187
1531,0,0,144,102
1534,354,104,437,231
1536,283,116,359,252
1538,0,139,98,258
1539,175,145,261,272
1542,31,73,133,180
1545,188,58,297,158
1546,78,46,191,162
1550,267,78,361,305
1551,156,214,266,379
1553,254,122,377,237
1555,0,113,128,455
1556,145,104,265,263
1558,25,62,93,392
1559,294,321,402,459
1560,236,0,379,89
1561,91,78,218,227
1563,160,97,305,184
1566,0,174,96,361
1568,0,51,100,269
1570,0,0,71,500
1575,245,330,324,500
1576,116,272,265,334
1577,206,183,288,319
1580,98,191,228,292
1583,205,120,323,222
1593,102,136,237,234
1594,87,71,308,150
1596,180,50,305,141
1597,22,57,154,151
1600,31,0,475,50
1602,106,212,265,285
1605,200,59,348,161
1606,102,350,285,439
1607,196,141,439,268
1609,142,194,308,264
1610,140,89,232,220
1611,145,133,294,203
1612,247,176,370,270
1613,167,114,323,202
1614,151,66,305,164
1615,205,160,359,234
1616,102,133,238,244
1618,227,133,370,223
1625,196,101,330,185
1626,71,173,254,286
1627,241,50,390,126
1628,178,81,350,207
1629,258,48,415,181
1630,93,240,245,313
1631,127,193,348,275
1633,133,137,337,226
1634,129,48,258,137
1636,194,96,352,172
1640,234,214,388,289
1643,145,115,330,198
1644,53,0,466,56
1646,303,0,500,72
1648,133,96,294,195
1649,171,97,292,201
1651,148,87,242,209
1652,229,313,419,375
1655,55,0,500,50
1656,113,109,245,194
1659,0,0,456,48
1660,141,129,278,229
1661,112,171,243,281
1662,142,0,350,71
1664,165,100,343,178
1665,87,0,500,214
1666,191,86,301,187
1667,133,0,250,96
1673,129,271,500,351
1678,0,0,500,60
1679,133,130,265,208
1682,212,0,333,84
1683,171,127,323,197
1692,142,50,437,247
1693,330,0,500,61
1694,220,93,348,176
1695,0,0,333,104
1696,254,31,363,124
1697,58,0,473,79
1698,161,263,326,381
1700,44,0,500,53
1702,0,261,102,375
1705,147,114,323,227
1708,234,169,444,273
1710,145,107,500,203
1712,205,105,350,205
1713,127,53,290,167
1715,153,111,250,247
1718,256,92,383,191
1719,158,120,400,256
1722,0,72,500,333
1723,301,123,439,246
1725,96,104,257,223
1728,80,169,183,281
1729,114,341,231,433
1730,60,167,171,274
1733,149,97,287,194
1736,112,48,196,102
1737,0,0,390,333
1738,0,106,299,401
1739,125,61,337,144
1743,187,127,343,193
1745,0,173,63,305
1746,128,136,250,220
1748,55,171,159,292
1750,71,191,192,303
1753,154,53,383,159
1755,190,125,283,256
1756,31,254,183,334
1760,330,271,500,375
1761,185,130,339,202
1768,350,72,500,147
1771,208,0,305,87
1776,183,92,319,182
1777,108,118,210,272
1780,225,65,348,164
1782,187,58,296,174
1783,171,258,321,366
1784,123,78,264,256
1785,123,200,241,332
1786,169,80,334,150
1788,167,73,412,197
1791,61,27,104,71
1793,87,45,137,107
1796,54,48,164,112
1797,131,40,314,108
1798,196,166,352,259
1799,79,45,147,164
1800,131,70,301,172
1804,65,53,188,194
1805,148,61,259,114
1807,158,60,325,165
1811,125,120,256,238
1814,84,55,196,157
1816,174,188,345,258
1819,153,136,266,270
1822,146,151,269,270
1826,140,60,256,165
1828,112,100,255,218
1829,142,62,252,194
1832,0,223,415,395
1836,75,163,301,242
1838,236,130,386,201
1840,80,54,220,136
1843,84,169,184,281
1844,0,189,500,390
1845,126,145,246,301
1846,234,96,361,197
1847,159,171,302,292
1848,104,120,258,193
1851,0,201,426,382
1853,93,120,174,258
1856,0,415,305,500
1857,44,120,144,227
1859,0,342,216,400
1861,99,80,209,218
1862,292,259,500,321
1865,0,0,500,60
1866,113,91,241,186
1867,207,289,354,375
1869,117,169,242,361
1871,0,237,500,375
1873,196,146,325,243
1874,122,60,226,165
1876,176,145,321,265
1882,153,138,376,238
1884,276,60,419,172
1885,301,343,439,439
1887,129,41,272,121
1888,64,104,239,184
1890,386,238,500,392
1891,261,67,386,146
1893,149,140,294,213
1894,101,187,208,316
1896,177,167,279,312
1900,112,94,208,152
1901,245,114,359,212
1902,66,180,200,277
1906,145,89,323,151
1908,203,130,383,191
1909,98,32,210,119
1910,0,0,474,89
1913,276,151,430,242
1915,319,125,426,239
1916,95,323,303,375
1917,339,0,500,77
1919,169,142,301,231
1924,218,136,359,228
1925,212,131,386,195
1926,218,213,354,295
1927,163,125,295,220
1931,68,437,257,500
1935,96,189,198,294
1937,191,160,339,244
1939,64,150,254,256
1940,270,141,419,216
1942,72,78,216,220
1943,0,0,500,80
1944,158,135,290,225
1946,113,53,232,142
1947,252,146,379,232
1948,169,37,303,130
1950,158,161,294,253
1956,116,133,189,252
1958,243,46,404,108
1959,176,37,316,107
1960,185,73,314,147
1962,189,174,343,244
1964,138,95,305,169
1965,261,0,388,102
1966,225,52,412,142
1967,109,100,258,177
1968,0,0,500,500
1969,183,35,334,108
1976,131,113,234,212
1980,136,95,303,204
1983,69,0,216,119
1984,232,99,366,176
1985,148,187,255,301
1986,98,234,197,350
1987,131,81,263,158
1989,189,45,319,92
1993,116,140,242,227
1995,256,0,372,105
1996,165,88,339,181
1997,122,39,247,135
1999,250,108,399,181
2000,343,63,446,175
2004,119,66,208,170
2005,160,200,289,294
2006,250,85,401,154
2008,158,167,325,256
2010,0,0,167,69
2014,114,133,218,227
2015,180,49,291,187
2016,121,0,231,218
2020,0,42,84,174
2021,194,75,325,162
2024,174,116,330,214
2027,180,89,319,180
2029,272,152,381,259
2030,127,167,276,280
2031,261,43,426,151
2032,0,0,142,107
2035,359,277,500,386
2037,162,145,305,228
2039,200,130,330,218
2040,151,0,234,158
2043,191,44,308,132
2048,128,154,290,274
2049,254,40,417,104
2051,129,102,235,209
2057,261,85,404,169
2059,160,0,283,78
2060,161,0,264,73
2062,183,0,343,60
2063,152,35,272,151
2064,137,0,239,93
2067,0,220,124,368
2070,95,81,279,141
2072,116,33,185,71
2073,183,84,303,179
2074,165,66,308,149
2075,109,50,265,133
2076,158,0,255,82
2077,157,82,283,142
2081,310,38,470,144
2084,350,256,500,341
2086,92,0,173,51
2091,212,196,359,300
2092,194,32,361,112
2093,174,111,399,212
2096,156,0,494,129
2098,166,191,274,285
2100,118,0,296,122
2101,121,44,229,128
2104,0,238,75,406
2107,173,0,289,102
2108,27,0,126,76
2109,171,0,345,100
2111,218,140,372,231
2112,212,179,379,240
2119,113,0,285,80
2120,178,92,314,174
2123,125,197,341,300
2126,0,228,133,316
2127,106,0,195,131
2128,109,34,321,98
2129,191,269,392,331
2131,207,86,370,162
2132,249,0,391,138
2134,140,130,294,208
2135,143,252,299,352
2139,290,0,500,79
2141,82,64,200,165
2142,0,0,367,87
2143,0,341,500,461
2145,180,0,325,101
2146,127,123,287,231
2148,292,0,500,53
2150,200,0,357,159
2153,161,0,275,100
2156,119,198,217,303
2158,201,0,325,138
2160,176,115,316,214
2162,174,53,296,158
2163,156,52,303,124
2164,148,0,318,89
2168,52,75,196,167
2170,170,53,324,136
2171,214,0,366,81
2179,241,54,375,156
2180,51,421,258,497
2183,101,60,210,169
2184,163,80,279,207
2186,254,352,391,448
2188,165,0,281,83
2189,225,47,386,130
2190,37,0,196,237
2193,160,69,319,220
2194,200,57,334,173
2195,176,89,323,191
2200,180,68,308,160
2201,187,69,341,186
2203,149,49,330,107
2204,145,291,330,358
2206,290,78,500,141
2207,145,102,252,220
2209,100,0,343,122
2211,100,87,254,161
2212,0,0,333,93
2213,139,0,255,142
2216,66,0,225,140
2218,163,51,300,162
2219,187,0,341,73
2222,247,67,381,176
2223,134,95,249,212
2226,129,56,274,145
2229,256,118,366,212
2230,171,165,275,287
2231,0,0,144,168
2234,247,37,397,149
2236,0,0,329,87
2239,175,89,282,207
2242,133,41,285,126
2244,0,0,500,77
2249,0,0,466,71
2250,129,129,242,232
2252,348,78,495,191
2256,328,41,450,130
2257,0,0,129,82
2258,159,55,272,160
2260,0,0,500,62
2264,108,64,221,151
2265,135,60,246,169
2268,91,55,193,169
2269,106,22,172,94
2273,69,139,218,226
2274,183,357,357,455
2276,312,0,473,87
2278,0,0,453,60
2280,62,60,256,160
2281,185,45,363,117
2282,195,0,286,133
2283,165,407,275,485
2284,0,0,450,77
2285,0,42,98,178
2287,27,0,358,75
2288,79,64,157,153
2290,35,0,473,56
2292,0,0,227,114
2293,31,0,455,58
2294,82,57,281,139
2295,40,132,156,236
2297,69,48,236,142
2298,44,0,475,60
2300,76,100,152,270
2302,236,145,500,199
2303,51,133,149,260
2305,31,0,455,51
2306,0,52,229,148
2307,321,31,500,102
2308,0,0,357,84
2310,53,72,183,173
2312,263,88,397,182
2315,247,144,383,236
2316,148,102,237,234
2318,0,0,216,112
2319,154,165,273,283
2321,0,0,309,75
2322,26,0,457,46
2327,71,103,247,183
2328,147,155,281,238
2329,0,0,500,71
2330,0,0,500,59
2331,0,47,183,137
2336,158,312,500,407
2338,229,83,377,156
2341,196,39,345,112
2348,51,43,189,127
2351,221,58,332,178
2355,178,119,361,199
2357,189,82,305,191
2358,301,143,424,272
2360,203,141,305,243
2361,136,78,415,178
2362,303,0,500,55
2363,223,49,357,136
2365,209,64,348,171
2366,140,39,292,116
2367,174,28,292,129
2368,116,41,261,118
2370,194,93,312,184
2371,218,86,348,186
2374,0,204,185,270
2376,142,180,249,301
2377,247,110,379,199
2379,156,195,319,267
2380,339,106,441,207
2381,151,0,368,124
2382,196,56,310,188
2389,62,0,466,62
2390,214,80,332,173
2393,256,74,377,159
2394,232,0,370,81
2399,70,0,224,171
2400,189,87,301,190
2404,216,73,354,270
2409,0,0,302,38
2410,131,0,272,168
2411,158,41,412,158
2412,171,0,300,104
2413,232,53,377,160
2415,77,426,295,500
2418,171,28,334,102
2421,0,0,344,91
2423,185,87,328,194
2427,80,0,292,67
2430,185,38,359,103
2431,90,180,192,285
2434,140,0,288,60
2435,153,109,249,223
2436,167,83,332,152
2437,162,47,299,133
2438,118,58,233,160
2442,0,179,75,332
2444,144,0,269,145
2445,49,0,111,50
2450,0,207,232,375
2452,156,77,292,153
2453,154,338,312,419
2454,0,0,455,66
2456,162,114,296,213
2457,325,302,464,403
2459,149,64,267,161
2463,236,30,419,99
2464,209,0,341,112
2466,171,46,330,124
2468,156,200,289,301
2470,294,0,468,69
2472,0,0,107,161
2473,141,200,250,301
2474,165,79,287,166
2475,0,0,258,111
2476,53,0,500,50
2481,0,0,230,167
2482,0,0,500,65
2483,225,128,386,239
2485,203,246,350,328
2488,62,0,424,84
2489,321,0,500,59
2491,0,0,500,58
2492,162,113,433,209
2493,127,133,265,222
2494,0,0,118,87
2495,209,0,383,65
2496,245,164,368,266
2497,406,236,500,375
2498,321,0,500,66
2499,194,90,332,206
2500,41,0,380,82
2503,0,0,125,74
2505,294,112,430,228
2507,0,0,335,80
2508,0,0,500,80
2511,265,129,397,219
2514,198,159,395,251
2520,0,0,500,59
2525,0,0,500,61
2531,66,57,216,166
2532,238,37,377,110
2538,129,110,283,194
2540,151,53,287,143
2541,0,0,408,102
2547,0,0,254,187
2548,247,56,419,132
2549,180,157,314,237
2551,142,150,274,246
2552,178,75,343,251
2553,140,43,319,121
2556,209,105,426,182
2557,183,75,357,220
2559,118,123,261,197
2561,35,0,470,50
2569,227,70,500,194
2570,102,129,254,202
2571,180,114,296,205
2572,165,207,323,281
2574,334,0,500,62
2575,0,76,220,288
2577,167,75,500,378
2578,69,99,203,188
2579,209,53,352,159
2580,158,164,341,242
2581,238,0,500,160
2582,180,43,334,111
2583,0,0,252,289
2588,0,175,200,220
2589,69,145,160,332
2590,0,52,272,215
2592,80,112,214,222
2594,0,0,500,53
2596,154,100,249,234
2599,111,207,245,277
2600,159,350,290,446
2603,80,122,173,241
2604,218,110,392,200
2606,200,71,388,169
2607,178,35,303,126
2609,174,170,285,277
2610,71,73,191,222
2611,135,127,267,234
2613,80,0,254,127
2614,107,180,254,275
2617,149,85,296,180
2618,200,126,301,223
2619,272,0,500,170
2622,145,107,236,248
2624,145,75,290,175
2627,154,96,283,189
2628,214,72,345,170
2630,151,159,290,349
2631,95,70,261,172
2632,151,134,287,230
2633,78,80,243,143
2636,216,102,363,267
2640,337,0,500,54
2648,93,87,296,192
2649,276,102,392,200
2650,34,98,140,207
2652,156,63,283,169
2653,227,46,379,138
2655,254,201,375,301
2657,171,54,323,151
2658,142,33,312,102
2660,82,52,265,187
2662,250,71,379,159
2669,223,45,370,137
2670,205,78,323,210
2671,145,104,256,266
2673,142,82,261,175
2674,142,78,229,261
2675,167,67,339,268
2676,241,53,361,142
2677,124,133,290,287
2678,375,234,500,333
2680,145,0,277,194
2681,252,117,361,228
2685,133,46,231,160
2689,205,56,332,155
2691,263,113,386,215
2693,147,87,242,207
2694,157,136,239,272
2695,263,110,366,224
2696,330,29,446,118
2703,263,108,372,205
2705,191,203,381,329
2707,149,116,246,236
2709,155,69,251,189
2710,0,0,198,120
2711,107,60,230,112
2712,129,31,211,158
2713,145,115,287,244
2715,325,167,441,301
2716,301,58,444,154
2717,236,0,325,151
2725,57,84,102,147
2727,107,45,192,126
2730,106,51,185,122
2731,69,0,165,115
2733,239,160,348,285
